"quarter","district","facility_type","block","facility_name","facility_code","catchment_pop","catchment_villages","essential_drugs_pct","essential_diagnostics_pct","JAS_meetings","CHO_present","MPW_present","ASHA_pct","infra_branding","BP_machine","glucometer","national_NQAS","state_NQAS","NQAS_baseline_conducted","NQAS_baseline_score","kayakalp_award","tim1_1","tim1_2","tim1_3","tim2_1","tim2_3","tim2_4","tim2_5","tim2_6","tim3_1","tim3_2","tim3_3","tim4_1","tim4_2","tim4_3","prop_HTN_over30_pct","prop_DM_over30_pct","prop_initatied_HTN","prop_initiated_DM","prop_adhered_HTN","prop_adhered_DM","prop_controlled_HTN","prop_controlled_DM","MO_present","staff_nurse_present","labtech_present","penta_dropout_scaled","HTN_dropout","DM_dropout","prop_onschedule_ANC","prop_immun_childunder2","avg_OPD_per1000","tim2_3_pct","tim2_4_pct"
"1","Bhavnagar","PHC","Bhavnagar","Adhelai","1","18829","4","1","0.22219999999999998","Yes","NA","NA","0.9029","Yes","Yes","Yes","Yes","Yes","Yes","0.9967","Yes","1","0","1","1","1","1","1","1","1","1","1","0.84225538","0.061430452","0.061430452","0","0","0","0","0","0","0","0","Yes","No","No","0","0","0","0","0","NA","1","1"
"1","Bhavnagar","PHC","Bhavnagar","Bhandariya","2","22693","2","1","0.22219999999999998","Yes","NA","NA","1.1898","Yes","Yes","Yes","Yes","Yes","Yes","0","Yes","1","0","1","1","1","1","1","1","1","1","1","0.94714273","0.050756979","0.050494443","0","0","0","0","0","0","0","0","Yes","No","No","0","0","0","0","0","NA","1","1"
"1","Bhavnagar","PHC","Bhavnagar","Bhumbhali","3","22967","1","1","0.22219999999999998","Yes","NA","NA","0.6531","Yes","Yes","Yes","Yes","Yes","Yes","0.9883","Yes","1","0","1","1","1","1","1","1","1","1","1","1.0063924","0.045812162000000003","0.045320439","0","0","0","0","0","0","0","0","Yes","No","No","0","0","0","0","0","NA","1","1"
"1","Bhavnagar","PHC","Bhavnagar","Fariyadaka","4","16986","2","1","0.22219999999999998","Yes","NA","NA","1.0597","Yes","Yes","Yes","Yes","Yes","Yes","0.9682999999999999","Yes","1","0","1","1","1","1","1","1","1","1","1","1.0209390999999999","0.020315424000000002","0.020493629000000003","0","0","0","0","0","0","0","0","Yes","No","No","0","0","0","0","0","NA","1","1"
"1","Bhavnagar","PHC","Bhavnagar","hathab","5","27840","1","1","0.22219999999999998","Yes","NA","NA","0.9339","Yes","Yes","Yes","Yes","Yes","Yes","0.9629000000000001","Yes","1","0","1","1","1","1","1","1","1","1","1","0.97171892","0.092090752","0.093193635","0","0","0","0","0","0","0","0","Yes","No","No","0","0","0","0","0","NA","1","1"
"1","Bhavnagar","PHC","Bhavnagar","Undavi","6","30460","2","1","0.22219999999999998","Yes","NA","NA","0.9521","Yes","Yes","Yes","Yes","Yes","Yes","0.9915999999999999","Yes","1","0","1","1","1","1","1","1","1","1","1","1","0.021587843000000002","0.021516829999999997","0","0","0","0","0","0","0","0","Yes","No","No","0","0","0","0","0","NA","1","1"
"1","Bhavnagar","SHC","Bhavnagar","Kalatalav","7","3854","1","0.8665999999999999","0.5","Yes","Yes","Yes","0.7784120400000001","Yes","Yes","Yes","No","No","No","0","No","1","0","1","1","1","1","1","1","0","0","0","0.5989847699999999","0.22398477","0.22398477","0","0","0","0","0","0","0","0","NA","NA","NA","0","0","0","0","0","NA","1","1"
"1","Bhavnagar","SHC","Bhavnagar","Savainagar","8","4875","4","1","0.5","Yes","Yes","Yes","1.025641","Yes","Yes","Yes","No","No","No","0","No","1","0","1","1","1","1","1","1","0","0","0","0.86325758","0.033712121000000005","0.033712121000000005","0","0","0","0","0","0","0","0","NA","NA","NA","0","0","0","0","0","NA","1","1"
"1","Bhavnagar","SHC","Bhavnagar","Velavadar","9","3652","4","1","0.5","Yes","Yes","Yes","0.8214676900000001","Yes","Yes","Yes","No","No","No","0","No","1","0","1","1","1","1","1","1","0","0","0","1.0593173","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","0","0","0","0","0","NA","1","1"
"1","Bhavnagar","SHC","Bhavnagar","Kobdi","10","6288","3","1.0090000000000001","0.5","Yes","Yes","Yes","0.95419847","Yes","Yes","Yes","No","No","No","0","No","1","0","1","1","1","1","1","1","0","0","0","0.86609337","0.015663391","0.015663391","0","0","0","0","0","0","0","0","NA","NA","NA","0","0","0","0","0","NA","1","1"
